BARCODE,Item #,Item Type,Category,PP Deck (Y/N),Ownership,Condition,SKU,DONATION FY26 (Y/N),Notes,Availability,Retail($),Cost($),Dest (Y/N),RETAIL YEAR
6292854,,ROUND SHADE ROOM CH,Lighting,,,,,,,0,0.0,0.0,Y,
6294868,,ALLEN FLOOR LAMP IN POLISHED,Lighting,,,,,,,0,0.0,0.0,Y,
6295203,,EMPIRE PEDESTAL TABLE - TABLE BASE,TABLE,,,,,,,Available,,,,
6295898,,Mordern Hollywood Ottoman RA11474 - NORRIS/SCHAPE,Furniture,,,Display,,,,0,0.0,0.0,,
6295995,,TABLE TOP PERSONAL STORAGE /ALALI,Furniture,,,Display,,,,0,0.0,0.0,,
6297780,,EQUILIBRIUM TABLE LAMP PN / RL11173PN,Lighting,,,,42557488,,,0,1619.0,362.78066666666666,Y,2013.0
6297782,,FAIRFIELD pharmacy fl lamp,Lighting,,,,42522060,,,0,1039.0,228.5257894736842,Y,2011.0
6298504,,Table Base Personal Storage /ALALI,Furniture,,,Display,,,,0,0.0,0.0,,
6298520,,RIVER REED STRIPE RUG,Rug,,,,,,,0,0.0,0.0,,
6299335,,BLACK TABLE TOP,Furniture,,polo,Display,,,,Sellable,0.0,0.0,Y,
6300322,,ANETTE LIBRARY LIGHT IN NATURAL BRASS 2270NB,Lighting,,,,,,,0,0.0,0.0,Y,
6300338,,hollis flr lamp RL1130NB-L,Lighting,,,,41806449,,,0,3149.85,748.21,Y,2019.0
6301402,,Modern Small Lantern in Polished Nickel RL5175PN,Lighting,,,,43555721,,,0,1849.0,390.13,Y,2013.0
6301535,,RL 67 BOOM ARM FLOOR LAMP BZ / RL14028BZ,Lighting,,,,42508622,,,0,1305.0,416.06,Y,2019.0
6303408,,JULIANNE LARGE SMOKE BELL PENDANT IN NATURAL BRASS RL5214NB-CG,Lighting,,,,41836289,,,0,3150.0,766.46,Y,2019.0
6303803,,PENTHOUSE SUITE FLUTED COMMODE/35010-48,Furniture,,polo,Display,43652734,,,Sellable,0.0,0.0,,2020.0
6303884,,Refectory Work Table RL39209-20,Furniture,,Polo,Missing pieces,42239095,,damage,Damaged,13350.0,3337.5,,2019.0
6306298,,TREMONT CHAIR 656-03,Furniture,,,Display,,,,0,0.0,0.0,Y,
6306604,,WARNER PHARMACY TABLE LAMP/RL3147CG/NB,Lighting,,,,,,,0,0.0,0.0,Y,
6306605,,BOOM ARM TASK LAMP/RL3030PN RL 67,Lighting,,,,42559278,,,0,1159.0,325.735,Y,2011.0
6306607,,BARRETT SMALL SINGLE SCONCES/RL2220NB,Lighting,,,,42521393,,,0,709.0,154.98,Y,2017.0
6306609,,"ANETTE 24"" (LARGE) PICTURE LIGHT NB / RL2277NB",Lighting,,,,42556316,,,0,1279.0,268.2366666666667,Y,2011.0
6306610,,HOLLIS FLOOR LAMP IN NB/RL1130NB,Lighting,,,,40359416,,,0,3000.0,730.0,Y,2018.0
6306723,,ALLEN SINGLE SCONCE IN PN/RL2080PN,Lighting,,,,42556233,,,0,649.0,145.6942857142857,Y,2011.0
6306724,,ALLEN SINGLE SCONCE IN PN/RL2080PN,Lighting,,,,42556233,,,0,649.0,145.6942857142857,Y,2011.0
6306726,,"ANETTE 16"" (MEDIUM) PICTURE LIGHT BZ / RL2276BZ",Lighting,,,,42556290,,,0,929.0,181.784,Y,2011.0
6306728,,"ANETTE 16"" (MEDIUM) PICTURE LIGHT BZ / RL2276BZ",Lighting,,,,42556290,,,0,929.0,181.784,Y,2011.0
6306729,,LANGHAM LARGE PICTURE LIGHT IN NB/RL2788NB,Lighting,,,,38997763,,,0,1819.0,369.60999999999996,Y,2024.0
6306759,,UPTON LARGE LANTERN IN BRONZE/RL5156BZ,Lighting,,,,42559617,,,0,2189.0,469.73,Y,2024.0
6306761,,BARRETT LARGE KNURLED CHAND HARDWARE &SHADES/RL5226NB-NB,Lighting,,,,,,,0,0.0,0.0,Y,
6306762,,BARRETT LARGE KNURLED LINEAR CHAND/RL5226NB-NB,Lighting,,,,45387008,,,0,1429.0,259.98,Y,2020.0
6307765,,BAUHAUS TUBULAR DESK/3500-45,Furniture,,polo,Display, no sku,,,Sellable,0.0,0.0,,
6308349,,ARCHED KING BED HB/39601-12,Furniture,,Polo,Display, ,,,Sellable,0.0,0.0,Y,
6308350,,ARCHED KING BED FB/39601-12,Furniture,,Polo,Display,41801002,,,Sellable,6177.0,1181.25,Y,2019.0
6308351,,ARCHED KING BED S.R/39601-12,Furniture,,Polo,Display, ,,,Sellable,0.0,0.0,Y,
6308406,,ARCHER KING BED/SLATS/39601-12,Furniture,,Polo,Display, ,,,Sellable,0.0,0.0,Y,
6309302,,BLEEKER TRIPLE BATH SCONCE IN BRASS/RL2535NB-WG,Lighting,,,,41834664,,,0,1188.0,289.04,Y,2019.0
6309304,,LANGHAM DISPLAY FLOOR LAMP IN BRASS/RL1388NB,Lighting,,,,41122508,,,0,4500.0,714.78,Y,2018.0
6309306,,LANGHAM LG PIC LIGHT IN BRASS/RL2788NB,Lighting,,,,42485615,,,0,1439.0,338.98,Y,2019.0
6309532,,ISLA SMALL TABLE LAMP IN WHITE LEATHER CERAMIC/3622WLC-L,Lighting,,,,,,,0,0.0,0.0,Y,
6309535,,SHADE FOR ISLA SMALL TABLE LAMP IN WHITE LEATHER CERAMIC/3622WLC-L,Lighting,,,,,,,0,0.0,0.0,Y,
6309536,,RL ''67 BOOM ARM WALL LAMP IN NB/14029BN,Lighting,,,,42559351,,,0,769.0,187.5,Y,2010.0
6309537,,RL ''67 BOOM ARM WALL LAMP IN NB/14029BN,Lighting,,,,42559351,,,0,769.0,187.5,Y,2010.0
6309540,,CAGAN SMALL TABLE LAMP IN CLEAR CARVED GLASS/3921CCG-P,Lighting,,,,41822446,,,0,948.0,291.96,Y,2019.0
6309541,,SHADE FOR CAGAN SMALL TABLE LAMP IN CLEAR CARVED GLASS/3921CCG-P,Lighting,,,,,,,0,0.0,0.0,Y,
6309543,,ARCHED QUEEN HEADBOARD / RLU39601-10HB,Furniture,,Polo,Display, ,,,Sellable,0.0,0.0,Y,
6309562,,HALIFAX TABLE LAMP IN BLACK CERAMIC W/ FAUX DRUM SKIN SHADE/3633BLK-DS,Lighting,,,,35834654,,,0,1279.0,282.13,Y,2014.0
6309563,,SHADE FOR HALIFAX TABLE LAMP IN BLACK CERAMIC W/ FAUX DRUM SKIN SHADE/3633BLK-DS,Lighting,,,,,,,0,0.0,0.0,Y,
6309587,,FAIRFIELD PHARMACY FLOOR LAMP IN NB/11165BN,Lighting,,,,42557629,,,0,1039.0,226.76214285714286,Y,2010.0
6309592,,SHADE FOR DARIEN FLOOR LAMP IN NB,Lighting,,,,,,,0,0.0,0.0,Y,
6309612,,MAYFAIR DINING ARM CHAIR / RLU30000-27,Furniture,,polo,Display,40353708,,,Sellable,5160.0,1290.0,Y,2018.0
6309619,,BLACK PALMS WOVEN OTTOMAN/39001-04,Furniture,,polo,Display,,,,Sellable,0.0,0.0,,
6310184,,ELLIS BEDSIDE LAMP PN (BASE) / RL3965PN-Q-P,Lighting,,,,42485490,,,0,2639.0,678.8733333333333,Y,2019.0
6310188,,SQUARE CLOSED TOP PERCAL TO RL3966PN/Q-P,Lighting,,,,,,,0,0.0,0.0,Y,
6310359,,UPPER FIFTH TABLE LAMP IN BROWN CROC LEATHER/RL3470BRN-S,Lighting,,,,,,,0,0.0,0.0,Y,
6310361,,BROMPTON SWING ARM TABLE LAMP IN NB/RL3501NB,Lighting,,,,25266818,,,0,1449.0,338.48,Y,2019.0
6310370,,NORDY FRITTER ROUND PERCALE-SHADE,LIGHTING,,,,,,,Available,,,,
6310372,,WILLOUGHBY MEDIUM PICTURE LIGHT IN BRONZE/RL2697BZ,Lighting,,,,42485805,,,0,685.0,216.04,Y,2019.0
6310373,,EVANS LIBRARY SCONCE IN BZ W/PERCALL SHADE /RL2004BZ-P,Lighting,,,,42557546,,,0,389.0,86.56333333333333,Y,2014.0
6310374,,ALLEN DOUBLE LIGHT SCONCE PN / RL2082PN,Lighting,,,,42515320,,,0,685.0,170.70000000000002,Y,2019.0
6310377,,"ANETTE 16"" PICTURE LIGHT IN PN/RL2276PN",Lighting,,,,,,,0,0.0,0.0,Y,
6310380,,VARICK FLOOR LIGHT IN NB/RL1345NB,Lighting,,,,,,,0,0.0,0.0,Y,
6310412,,VARICK TABLE LAMP CRYSTAL IN NB W/SHADE/RL3941CG/NB-P,Lighting,,,,42485755,,,0,1139.0,307.235,Y,2019.0
6310413,,BARRETT MEDIUM KNURLED TABLE LAMP NB WITH LINEN SHADE / RL3094NB-L,Lighting,,,,41903360,,,0,1339.0,302.478,Y,2017.0
6310414,,MODERN TABLE LAMP W/SHADE/RL11167DS-P,Lighting,,,,42558775,,,0,1279.0,268.19217391304346,Y,2012.0
6310415,,BARETT LARGE FLOOR LAMP LINEN SHADE/RL1090PN-L,Lighting,,,,44889244,,,0,2879.0,650.4345454545454,Y,2017.0
6310416,,LAMP SHADE,Lighting,,,,,,,0,0.0,0.0,Y,
6310418,,BARRETT LARGE FLOOR LAMP-LINEN SHADE/RL109OPN-L,Lighting,,,,42485292,,,0,2389.0,451.58,Y,2019.0
6311502,,BARTON MEDIUM BATH SCONCE NB / RL2032NB-EC,Lighting,,,,42515338,,,0,965.0,306.56,Y,2019.0
6311503,,"ANETTE 16"" PICTURE LIGHT IN NB-RL2276NB",Lighting,,,,42556308,,,0,929.0,210.55083333333334,Y,2011.0
6311504,,ROUND SHADE (LAMP SHADE),Lighting,,,,,,,0,0.0,0.0,Y,
6311505,,17x18x13.5L (LAMP SHADE),Lighting,,,,,,,0,0.0,0.0,,
6311506,,(LAMP SHADE)-RL3080PN-WP,Lighting,,,,,,,0,0.0,0.0,Y,
6311507,,(LAMP SHADE)-RL61004SH,Lighting,,,,,,,0,0.0,0.0,,
6311508,,CLAUDE STRIPE LAUREL LWP66239W (BOX OF WALL COVERING),Wallpaper,,,,,,,0,0.0,0.0,,
6311509,,YACARE CROC MAHOGANY LWP40879W (BOX OF WALL COVERING),Wallpaper,,,,,,,0,0.0,0.0,,
6311510,,SCONCE PLUS TWO METAL SHADES-RL2252PN,Lighting,,,,,,,0,0.0,0.0,Y,
6311511,,AYMELINE DOUBLE SCONCE-RL2106BS-S,Lighting,,,,42556415,,,0,809.0,182.465,Y,2011.0
6311512,,SINGLE AYMELINE-RL2105BS-S,Lighting,,,,42556415,,,0,809.0,182.465,Y,2011.0
6312469,,CURTAIN HARDWARE,Prop,,,,,,,0,0.0,0.0,,
6313163,,LAMP SHADE,Lighting,,,,,,,0,0.0,0.0,Y,
6313164,,LAMP SHADE,Lighting,,,,,,,0,0.0,0.0,Y,
6313165,,LAMP SHADE,Lighting,,,,,,,0,0.0,0.0,Y,
6313166,,LAMP SHADE,Lighting,,,,,,,0,0.0,0.0,Y,
6313167,,LAMP SHADE,Lighting,,,,,,,0,0.0,0.0,Y,
6313168,,LAMP SHADE,Lighting,,,,,,,0,0.0,0.0,Y,
6313169,,LAMP SHADE,Lighting,,,,,,,0,0.0,0.0,Y,
6313170,,LAMP SHADE,Lighting,,,,,,,0,0.0,0.0,Y,
6313171,,LAMP SHADE,Lighting,,,,,,,0,0.0,0.0,Y,
6313172,,LAMP SHADE,Lighting,,,,,,,0,0.0,0.0,Y,
6313173,,LAMP SHADE,Lighting,,,,,,,0,0.0,0.0,Y,
6313179,,EMPIRE PEDESTAL TABLE BASE,Furniture,,polo,Display,,,,0,0.0,0.0,,
6313179,,EMPIRE PEDESTAL TABLE TOP/1867-20,Furniture,,polo,Display,,,,0,0.0,0.0,,
6313482,,SHADE / HOLIDAY,Lighting,,,,,,,0,0.0,0.0,Y,
6313483,,SHADE / HOLIDAY,Lighting,,,,,,,0,0.0,0.0,Y,
6313484,,SHADE / HOLIDAY,Lighting,,,,,,,0,0.0,0.0,Y,
6313485,,SHADE / HOLIDAY,Lighting,,,,,,,0,0.0,0.0,Y,
6313991,,LAWSON UPHOLSTERED CHAIR / RLU39500-27,Furniture,,polo,Display,74544933,,,Sellable,5675.0,1153.5,,2024.0
6314001,,TREMONT SOFA / PATINA VELVET STERLING / ESTATE MAHOGANY / RLU656-01 / PILLOWS ARE ASSET 6316509,Furniture,,,Display,,,,0,0.0,0.0,,
6314117,,Anette Double Sconce in NB,Lighting,,,,42556357,,,0,879.0,195.02166666666665,Y,2011.0
6314118,,Anette Double Sonce in NB,Lighting,,,,42556357,,,0,879.0,195.02166666666665,Y,2011.0
6314119,,Anette Double Sconce in NB,Lighting,,,,42556357,,,0,879.0,195.02166666666665,Y,2011.0
6314120,,Anette Double Sconce In NB,Lighting,,,,42556357,,,0,879.0,195.02166666666665,Y,2011.0
6314130,,Modern Small Lantern,Lighting,,,,43600584,,,0,1519.0,286.38,Y,2020.0
6314132,,WESTBURY LANTERN NB RL5180NB,Lighting,,,,4300592,,,0,0.0,0.0,Y,
6314227,,OAH 41''MODERN LARGE LANTERN,Lighting,,,,,,,0,0.0,0.0,Y,
6314389,,SQUARE PERCALE SHADE,Lighting,,,,,,,0,0.0,0.0,Y,
6314391,,"16.75"" OVAL LINEN SHADE",Lighting,,,,,,,0,0.0,0.0,,
6314453,,ROUND LINE SHADE FOR RL1090,Lighting,,,,,,,0,0.0,0.0,Y,
6314573,,ISLA CERAMIC LAMP,Lighting,,,,36857928,,,0,1200.6666666666667,227.17999999999998,Y,2015.0
6314574,,ISLA LARGE CERAMIC LAMP,Lighting,,,,,,,0,0.0,0.0,Y,
6314575,,ISLA CERAMIC LAMP SHADE,Lighting,,,,,,,0,0.0,0.0,Y,
6314576,,ISLA CERAMIC LAMP SHADE,Lighting,,,,,,,0,0.0,0.0,Y,
6314733,,STORAGE OTTOMAN,Furniture,,visual,Display,,,,Sellable,0.0,0.0,,
6314734,,STORAGE OTTOMAN,Furniture,,visual,Display,,,,Sellable,0.0,0.0,,
6314965,,UPTON SCONCES,Lighting,,,,43600527,,,0,725.0,135.98,Y,2020.0
6314966,,UPTON SCONCE,Lighting,,,,43600527,,,0,725.0,135.98,Y,2020.0
6314967,,CARTHER LAMP SHADE,Lighting,,,,,,,0,0.0,0.0,Y,
6314968,,CARTHER SMALL TABLE LAMP BLACK,Lighting,,,,,,,0,0.0,0.0,Y,
6314974,,LANGHAM LARGE PITCURE LIGHT,Lighting,,,,41122243,,,0,1800.0,437.96,Y,2018.0
6315081,,DALEY LARGE SIX LIGHT CHANDELIER PN / RL5321PN-CA,Lighting,,,,42521971,,,0,3909.0,806.1683333333334,Y,2018.0
6315082,,CAMBRIDGE LARGE SMOKE BELL PENDANT NB / RL5103NB-CG / SHADE IS ASSET 006317499,Lighting,,,,42556829,,,0,3909.0,830.855,Y,2012.0
6315084,,BARRET LG KNURLED FLOOR LAMP SHADE,Lighting,,,,,,,0,0.0,0.0,Y,
6315085,,CODY LG FLOOR IN NB & SADDDLE LEATHER,Lighting,,,,44263655,,,0,1709.0,330.98,Y,2021.0
6315086,,FAIRFIELD PHARMACY FL IN NB,Lighting,,,,42557629,,,0,1039.0,226.76214285714286,Y,2010.0
6315091,,CARTHAGE MINI LAMP NB / RL3805NB,Lighting,,,,42485409,,,0,685.0,129.18,Y,2019.0
6315095,,ALLEN TABLE LAMP PN (BASE) / RL3082PN-WP,Lighting,,,,42485201,,,0,1075.0,250.526,Y,2019.0
6315096,,EVANS DOUBLE ARM SCONCE PN / RL2007PN-P / SHADES ARE ASSET 006315097,Lighting,,,,,,,0,0.0,0.0,Y,
6315097,,EVANS DOUBLE ARM SCONCE PN (SHADES) / RL2007PN-P / GOES WITH ASSET 006315096,Lighting,,,,,,,0,0.0,0.0,Y,
6315105,,DALEY MEDUIM SIX LIGHT CHANDELIER PN / RL5322PN-CA,Lighting,,,,42557298,,,0,3689.0,868.98,Y,2018.0
6315109,,BARRETT LARGE KNURLED FLOOR  SHADE,Lighting,,,,,,,0,0.0,0.0,Y,
6315190,,BARRETT LARGE KNURLED FLOOR LAMP SHADE,Lighting,,,,,,,0,0.0,0.0,Y,
6315646,,BEAUWORTH PARCHMENT CHEST,Furniture,,,,,,,0,0.0,0.0,Y,
6315753,,WHITE SHADE,Lighting,,,,,,,0,0.0,0.0,Y,
6316084,,CAMBRIDGE MEDIUM SMOKE BELL,Lighting,,,,42556845,,,0,2089.0,488.48,Y,2015.0
6316085,,BARRETT KNURLED BUFFET LAMP POLISHED NICKEL,Lighting,,,,42515353,,,0,1199.0,383.94,Y,2019.0
6316107,,ELLIS BEDSIDE LAMP PN (SHADE) / RL3965PN-Q-P / (BASE) IS ASSET 006316109,Lighting,,,,42485490,,,0,2639.0,678.8733333333333,Y,2019.0
6316108,,ELLIS BEDSIDE LAMP PN (SHADE) / RL3965PN-Q-P / (BASE) IS ASSET 6316108,Lighting,,,,42485490,,,0,2639.0,678.8733333333333,Y,2019.0
6316109,,ELLIS BEDSIDE LAMP PN (BASE) / RL3965PN-Q-P / (SHADE) IS ASSET 006316107,Lighting,,,,42485490,,,0,2639.0,678.8733333333333,Y,2019.0
6316110,,ELLIS BEDSIDE LAMP PN (BASE) / RL3965PN-Q-P / (SHADE) IS ASSET 006316108,Lighting,,,,42485490,,,0,2639.0,678.8733333333333,Y,2019.0
6316152,,SABLE SMALL CHANDELIER CRYSTAL/POLISHED NICKEL,Lighting,,,,44244515,,,0,3185.0,601.98,Y,2021.0
6316164,,RL 67 BOOM ARM TABLE LAMP PN / RL14030PN,Lighting,,,,35999523,,,0,459.0,255.46,Y,2018.0
6316166,,IIONA MEDIUM TABLE LAMP SHADE,Lighting,,,,,,,0,0.0,0.0,Y,
6316252,,CHATHAM LARGE LANTERN NB,Lighting,,,,40378911,,,0,6600.0,1053.58,Y,2018.0
6316348,,"22"" THROW PILLOWS",Furniture,,Visual,Display,,,,Sellable,0.0,0.0,Y,
6316509,,TREMONT SOFA (PILLOWS) / PATINA VELVET STERLING / ESTATE MAHOGANY / SOFA IS ASSET 6314001,Furniture,,,Display,,,,0,0.0,0.0,,
6316596,,ROUND WHITE PAPER SHADE,Lighting,,,,,,,0,0.0,0.0,Y,
6316597,,LEAF FOR DUKE DINING TABLE,Furniture,,,Display,,,,0,0.0,0.0,Y,
6316600,,SHADE FOR RL15808PS,Lighting,,,,,,,0,0.0,0.0,Y,
6316601,,ROUND WHITE PAPER CLOSED TOP SHADE,Lighting,,,,,,,0,0.0,0.0,Y,
6316607,,LYNE TORCH FLOOR LAMP,Lighting,,,,,,,0,0.0,0.0,Y,
6316612,,MARIE SCONCE,Lighting,,,,,,,0,0.0,0.0,Y,
6316613,,MARIE SCONCE,Lighting,,,,,,,0,0.0,0.0,Y,
6316614,,BOX-ROUND SILK SHADE,Lighting,,,,,,,0,0.0,0.0,Y,
6316616,,CANNES PENDANT,Lighting,,,,42556860,,,0,3229.0,580.0466666666667,Y,2024.0
6316617,,UPTON LARGE SCONCE,Lighting,,,,42559633,,,0,929.0,154.18,Y,2012.0
6316618,,ST. GERMAIN COCKTAIL TABLE,Furniture,,,Display,,,,0,0.0,0.0,,
6316619,,ST. GERMAIN COCKTAIL TABLE,Furniture,,,Display,,,,0,0.0,0.0,,
6316620,,FREEMAN TABLE LAMP,Lighting,,,,,,,0,0.0,0.0,Y,
6316626,,ALLEGRA IRON CHANDELIER,Lighting,,,,,,,0,0.0,0.0,Y,
6316629,,WHITE SHADE,Lighting,,,,,,,0,0.0,0.0,Y,
6316635,,MAYFAIR OCCASIONAL CHAIR,Furniture,,polo,Display,43614940,,,Sellable,4659.0,1193.25,,2020.0
6316636,,ANETTE SWING ARM SCONCE,Lighting,,,,42556381,,,0,709.0,98.692,Y,2011.0
6316637,,ROUND SHADE,Lighting,,,,,,,0,0.0,0.0,Y,
6316639,,ROUND SHADE,Lighting,,,,,,,0,0.0,0.0,Y,
6316640,,ROUND SHADE,Lighting,,,,,,,0,0.0,0.0,Y,
6316641,,ROUND SHADE,Lighting,,,,,,,0,0.0,0.0,Y,
6316642,,ROUND WHITE PAPER SHADE,Lighting,,,,,,,0,0.0,0.0,Y,
6316643,,ROUND SILK SHADE,Lighting,,,,,,,0,0.0,0.0,Y,
6316649,,HEIRESS DINING TABLE - MAHOGANY ( BASE ONLY ),Furniture,,polo,Display,43590124,,,0,27770.0,5657.25,,2020.0
6316650,,BOX OF SHADES,Lighting,,,,,,,0,0.0,0.0,Y,
6316651,,BOX OF SHADES,Lighting,,,,,,,0,0.0,0.0,Y,
6316652,,METAL BLACK SHADE,Lighting,,,,,,,0,0.0,0.0,Y,
6316653,,FULTON LARGE PENDANT/ INDUSTRIAL STEEL,Lighting,,,,,,,0,0.0,0.0,Y,
6316669,,ROUND WHITE PAPER CLOSED TOP SHADE,Lighting,,,,,,,0,0.0,0.0,Y,
6316714,,CARTHAGE TABLE LAMP NB / RL11094BN,Lighting,,,,42556993,,,0,1036.5,223.23958333333334,Y,2010.0
6316715,,GARNER TABLE LAMP NB,Lighting,,,,42557934,,,0,0.0,0.0,Y,2016.0
6316716,,SHADE FOR GARNER TABLE LAMP,Lighting,,,,,,,0,0.0,0.0,Y,
6316717,,GARNER TABLE LAMP NB,Lighting,,,,42557942,,,0,929.0,207.08,Y,2016.0
6316718,,SHADE FOR GARDNER TABLE LAMP,Lighting,,,,,,,0,0.0,0.0,Y,
6317313,,COTE D''AZUR QUEEN BED HEADBOARD 184-03,Furniture,,Polo,Display,,,,Sellable,0.0,0.0,,2020.0
6317314,,COTE D''AZUR QUEEN BED 184-03 FOOTBOARD,Furniture,,Polo,Display,45942497,,,Sellable,5829.95,2607.0,,2022.0
6317315,,COTE D''AZUR QUEEN BED 184-03 SIDERAILS AND HARDWARE,Furniture,,Polo,Display,,,,Sellable,0.0,0.0,,
6317392,,BOXSPRING,Prop,,,,,,,0,0.0,0.0,,
6317499,,CAMBRIDGE LARGE SMOKE BELL PENDANT NB (SHADE) / RL5103NB-CG / GOES WITH ASSET 6315082,Lighting,,,,42556829,,,0,3909.0,830.855,Y,2012.0
6317902,,MODERN METROPOLIS BEDSIDE CHEST,Furniture,,polo,Display,43652056,,,Sellable,10195.0,1607.9166666666667,Y,2020.0
6318423,,PARKER SIDE TABLE STAINLESS STEEL,Furniture,,,Display,,,,0,0.0,0.0,,
6318466,,DALTON UPHOLSTERED SIDE DINING CHAIR,Furniture,,,Display,,,,0,0.0,0.0,,
6318572,,MODERN HURRICANE SCONE,Lighting,,,,38842670,,,0,900.0,198.215,Y,2019.0
6318575,,ANETTE DOUBLE SCONCE NB / RL2252NB,Lighting,,,,42556357,,,0,879.0,195.02166666666665,Y,2011.0
6318577,,ANETTE DOUBLE SCONCE NB / RL2252NB,Lighting,,,,42556357,,,0,879.0,195.02166666666665,Y,2011.0
